CensusYear,Subject,Gender,AgeGroup,QualifiedEntrantType,StockSize
2011,Art & Design,Female,35-54,Not a qualified Entrant,3464.4045752597067
2012,Art & Design,Female,35-54,Not a qualified Entrant,3528.867001067944
2013,Art & Design,Female,35-54,Not a qualified Entrant,3662.1380381803383
2014,Art & Design,Female,35-54,Not a qualified Entrant,3699.748794960249
2015,Art & Design,Female,35-54,Not a qualified Entrant,3799.25356323193
2016,Art & Design,Female,35-54,Not a qualified Entrant,3757.190052732921
2017,Art & Design,Female,35-54,Not a qualified Entrant,3770.481043995357
2011,Biology,Female,35-54,Not a qualified Entrant,3658.6828232175467
2012,Biology,Female,35-54,Not a qualified Entrant,3714.1860384169127
2013,Biology,Female,35-54,Not a qualified Entrant,3776.7790148099803
2014,Biology,Female,35-54,Not a qualified Entrant,4015.203809826544
2015,Biology,Female,35-54,Not a qualified Entrant,4088.012013248802
2016,Biology,Female,35-54,Not a qualified Entrant,4080.951467942484
2017,Biology,Female,35-54,Not a qualified Entrant,4144.112816564379
2011,Business Studies,Female,35-54,Not a qualified Entrant,1558.3138823981117
2012,Business Studies,Female,35-54,Not a qualified Entrant,1555.437058922429
2013,Business Studies,Female,35-54,Not a qualified Entrant,1619.5346181178938
2014,Business Studies,Female,35-54,Not a qualified Entrant,1651.2553770159234
2015,Business Studies,Female,35-54,Not a qualified Entrant,1648.294693463766
2016,Business Studies,Female,35-54,Not a qualified Entrant,1728.6655301564113
2017,Business Studies,Female,35-54,Not a qualified Entrant,1750.8629657221652
2011,Chemistry,Female,35-54,Not a qualified Entrant,2637.142324302909
2012,Chemistry,Female,35-54,Not a qualified Entrant,2769.7922443485886
2013,Chemistry,Female,35-54,Not a qualified Entrant,2750.4275486403485
2014,Chemistry,Female,35-54,Not a qualified Entrant,2734.672889232646
2015,Chemistry,Female,35-54,Not a qualified Entrant,2794.827678279379
2016,Chemistry,Female,35-54,Not a qualified Entrant,2917.354009276084
2017,Chemistry,Female,35-54,Not a qualified Entrant,3043.383652952196
2011,Classics,Female,35-54,Not a qualified Entrant,76.57342459016567
2012,Classics,Female,35-54,Not a qualified Entrant,83.40013151635756
2013,Classics,Female,35-54,Not a qualified Entrant,81.58863796648754
2014,Classics,Female,35-54,Not a qualified Entrant,90.40535267456508
2015,Classics,Female,35-54,Not a qualified Entrant,88.59063712670958
2016,Classics,Female,35-54,Not a qualified Entrant,81.6166219344914
2017,Classics,Female,35-54,Not a qualified Entrant,88.4957857764065
2011,Computing,Female,35-54,Not a qualified Entrant,2192.21184048521
2012,Computing,Female,35-54,Not a qualified Entrant,2067.1255321429576
2013,Computing,Female,35-54,Not a qualified Entrant,1943.5024552426987
2014,Computing,Female,35-54,Not a qualified Entrant,1817.0001597562664
2015,Computing,Female,35-54,Not a qualified Entrant,1724.4833037976503
2016,Computing,Female,35-54,Not a qualified Entrant,1704.2152392916387
2017,Computing,Female,35-54,Not a qualified Entrant,1570.246492412644
2011,Design & Technology,Female,35-54,Not a qualified Entrant,3603.446476547871
2012,Design & Technology,Female,35-54,Not a qualified Entrant,3427.0969225305507
2013,Design & Technology,Female,35-54,Not a qualified Entrant,3326.099323316965
2014,Design & Technology,Female,35-54,Not a qualified Entrant,3230.9211724757147
2015,Design & Technology,Female,35-54,Not a qualified Entrant,3229.5380125834645
2016,Design & Technology,Female,35-54,Not a qualified Entrant,3210.6326945931437
2017,Design & Technology,Female,35-54,Not a qualified Entrant,3140.140077888512
2011,Drama,Female,35-54,Not a qualified Entrant,1573.7609521892998
2012,Drama,Female,35-54,Not a qualified Entrant,1659.431322991311
2013,Drama,Female,35-54,Not a qualified Entrant,1653.1058986873688
2014,Drama,Female,35-54,Not a qualified Entrant,1744.4353581318846
2015,Drama,Female,35-54,Not a qualified Entrant,1762.3133769596939
2016,Drama,Female,35-54,Not a qualified Entrant,1775.9263101205079
2017,Drama,Female,35-54,Not a qualified Entrant,1853.278795050099
2011,English,Female,35-54,Not a qualified Entrant,9251.96154711752
