CensusYear,Subject,Gender,AgeGroup,QualifiedLeaverType,StockSize
2011,Art & Design,Female,35-54,Not a qualified Leaver,3259.4898635959707
2012,Art & Design,Female,35-54,Not a qualified Leaver,3366.922241330661
2013,Art & Design,Female,35-54,Not a qualified Leaver,3455.5710823661184
2014,Art & Design,Female,35-54,Not a qualified Leaver,3536.2762585794935
2015,Art & Design,Female,35-54,Not a qualified Leaver,3554.7303309207527
2016,Art & Design,Female,35-54,Not a qualified Leaver,3635.237473064994
2017,Art & Design,Female,35-54,Not a qualified Leaver,3629.1354115381437
2011,Biology,Female,35-54,Not a qualified Leaver,3570.6965426658207
2012,Biology,Female,35-54,Not a qualified Leaver,3541.592375253251
2013,Biology,Female,35-54,Not a qualified Leaver,3630.7002191602205
2014,Biology,Female,35-54,Not a qualified Leaver,3748.9185375068373
2015,Biology,Female,35-54,Not a qualified Leaver,3929.0454802468485
2016,Biology,Female,35-54,Not a qualified Leaver,3897.06299749381
2017,Biology,Female,35-54,Not a qualified Leaver,3951.9959412820226
2011,Business Studies,Female,35-54,Not a qualified Leaver,1529.8640298722928
2012,Business Studies,Female,35-54,Not a qualified Leaver,1525.2438999373576
2013,Business Studies,Female,35-54,Not a qualified Leaver,1499.2612029610605
2014,Business Studies,Female,35-54,Not a qualified Leaver,1572.3426364803677
2015,Business Studies,Female,35-54,Not a qualified Leaver,1586.707335251551
2016,Business Studies,Female,35-54,Not a qualified Leaver,1594.081377022146
2017,Business Studies,Female,35-54,Not a qualified Leaver,1632.0660229687037
2011,Chemistry,Female,35-54,Not a qualified Leaver,2568.2645238243795
2012,Chemistry,Female,35-54,Not a qualified Leaver,2624.0579343529344
2013,Chemistry,Female,35-54,Not a qualified Leaver,2711.53449213265
2014,Chemistry,Female,35-54,Not a qualified Leaver,2661.10022570623
2015,Chemistry,Female,35-54,Not a qualified Leaver,2657.7478364828166
2016,Chemistry,Female,35-54,Not a qualified Leaver,2774.2137435533396
2017,Chemistry,Female,35-54,Not a qualified Leaver,2817.3585097220775
2011,Classics,Female,35-54,Not a qualified Leaver,77.4183557705164
2012,Classics,Female,35-54,Not a qualified Leaver,75.36142463787509
2013,Classics,Female,35-54,Not a qualified Leaver,81.2737083990759
2014,Classics,Female,35-54,Not a qualified Leaver,81.82424908763309
2015,Classics,Female,35-54,Not a qualified Leaver,91.9978561374757
2016,Classics,Female,35-54,Not a qualified Leaver,80.70891454683205
2017,Classics,Female,35-54,Not a qualified Leaver,83.97016043256416
2011,Computing,Female,35-54,Not a qualified Leaver,2160.68685402029
2012,Computing,Female,35-54,Not a qualified Leaver,2105.3542329149063
2013,Computing,Female,35-54,Not a qualified Leaver,1969.8069026081216
2014,Computing,Female,35-54,Not a qualified Leaver,1831.270656149242
2015,Computing,Female,35-54,Not a qualified Leaver,1727.03990459722
2016,Computing,Female,35-54,Not a qualified Leaver,1676.355370823174
2017,Computing,Female,35-54,Not a qualified Leaver,1582.80471023519
2011,Design & Technology,Female,35-54,Not a qualified Leaver,3638.747482306978
2012,Design & Technology,Female,35-54,Not a qualified Leaver,3482.4344177995577
2013,Design & Technology,Female,35-54,Not a qualified Leaver,3319.1646856453426
2014,Design & Technology,Female,35-54,Not a qualified Leaver,3229.0269128817126
2015,Design & Technology,Female,35-54,Not a qualified Leaver,3087.9512848027894
2016,Design & Technology,Female,35-54,Not a qualified Leaver,3098.1035897285
2017,Design & Technology,Female,35-54,Not a qualified Leaver,3062.8231699265807
2011,Drama,Female,35-54,Not a qualified Leaver,1471.8392810144821
2012,Drama,Female,35-54,Not a qualified Leaver,1532.8333701958763
2013,Drama,Female,35-54,Not a qualified Leaver,1624.342528067617
2014,Drama,Female,35-54,Not a qualified Leaver,1608.370116107598
2015,Drama,Female,35-54,Not a qualified Leaver,1666.4647434787742
2016,Drama,Female,35-54,Not a qualified Leaver,1627.5902022159617
2017,Drama,Female,35-54,Not a qualified Leaver,1702.9606164034083
2011,English,Female,35-54,Not a qualified Leaver,9154.30148806277
2012,English,Female,35-54,Not a qualified Leaver,9104.006065590598
2013,English,Female,35-54,Not a qualified Leaver,9221.825143041511
2014,English,Female,35-54,Not a qualified Leaver,9408.399354705005
2015,English,Female,35-54,Not a qualified Leaver,9620.829903501395
2016,English,Female,35-54,Not a qualified Leaver,9970.315016669596
2017,English,Female,35-54,Not a qualified Leaver,10212.795161057842
2011,Food,Female,35-54,Not a qualified Leaver,1411.0194480160783
2012,Food,Female,35-54,Not a qualified Leaver,1321.8468951335344
2013,Food,Female,35-54,Not a qualified Leaver,1276.8227585898394
2014,Food,Female,35-54,Not a qualified Leaver,1183.86122065233
2015,Food,Female,35-54,Not a qualified Leaver,1160.4456679264258
2016,Food,Female,35-54,Not a qualified Leaver,1085.3764156185841
2017,Food,Female,35-54,Not a qualified Leaver,1054.8994125927245
2011,Geography,Female,35-54,Not a qualified Leaver,1931.1610332526104
2012,Geography,Female,35-54,Not a qualified Leaver,2024.7600836829724
2013,Geography,Female,35-54,Not a qualified Leaver,2036.6937614131666
2014,Geography,Female,35-54,Not a qualified Leaver,2134.8808081577795
2015,Geography,Female,35-54,Not a qualified Leaver,2260.9353288052653
